From,To ,Capacity,CU (%)
2797272,1635271,54,2.050113895
3064018,3074553,2,0.075930144
2784131,3092078,22,0.835231587
2814016,3425982,2,0.075930144
2811767,1635271,2,0.075930144
2821120,2779742,2,0.075930144
2784124,2811822,7,0.265755505
2814091,2813920,4,0.151860289
3100098,3102265,3,0.113895216
2784116,2851132,15,0.569476082
3074565,2785406,2,0.075930144
2811732,1635271,3,0.113895216
3092110,2785406,2,0.075930144
2814416,1635271,2,0.075930144
3095738,3145729,3,0.113895216
3425982,2814251,5,0.189825361
2814391,2811635,3,0.113895216
3120771,2783453,2,0.075930144
2814440,2784131,2,0.075930144
3543480,2784131,2,0.075930144
3279238,2793753,5,0.189825361
2813995,1635271,7,0.265755505
3126675,2783453,3,0.113895216
3103841,2785372,2,0.075930144
3131612,2811417,2,0.075930144
2811523,2814345,2,0.075930144
2797412,3279238,2,0.075930144
2811404,2785406,5,0.189825361
3129163,2811417,2,0.075930144
3122933,2783453,2,0.075930144
3335778,3092022,3,0.113895216
3092118,1635271,2,0.075930144
2797455,2851132,3,0.113895216
3122919,2783453,3,0.113895216
2817771,3092022,2,0.075930144
2814368,2813920,3,0.113895216
2811822,2785406,30,1.138952164
3098813,3105614,3,0.113895216
3080713,1635271,3,0.113895216
3092140,1635271,5,0.189825361
2821329,2821276,3,0.113895216
2793628,1635271,5,0.189825361
3126658,2785406,3,0.113895216
3074587,3122932,3,0.113895216
2783448,2811825,3,0.113895216
3092137,1635271,3,0.113895216
3335774,3092022,2,0.075930144
3122935,3108096,3,0.113895216
3098320,1635271,3,0.113895216
2811816,2784132,3,0.113895216
3129161,2813946,2,0.075930144
3071766,2811777,2,0.075930144
2784119,2784131,2,0.075930144
2817566,3099997,3,0.113895216
2814102,2811435,2,0.075930144
3074558,3152215,3,0.113895216
3128735,2811417,3,0.113895216
3131618,2811417,2,0.075930144
2811416,3092662,3,0.113895216
2813915,2785372,5,0.189825361
3092116,2785406,3,0.113895216
2814290,2811513,3,0.113895216
2783394,1635271,2,0.075930144
3827468,3335176,3,0.113895216
3122922,2783453,2,0.075930144
3092647,1635271,2,0.075930144
3131625,2813946,2,0.075930144
2797463,3734444,2,0.075930144
3122932,2785406,12,0.455580866
2811569,2783453,2,0.075930144
2811561,2814128,3,0.113895216
2811805,3229749,3,0.113895216
3064012,3074553,3,0.113895216
2814180,3092660,4,0.151860289
3092089,1635271,3,0.113895216
3098597,3097890,4,0.151860289
3103835,2785406,2,0.075930144
2811786,2811407,2,0.075930144
3092107,1635271,5,0.189825361
3092093,2785406,3,0.113895216
2813920,1635271,58,2.201974184
3129979,2783453,2,0.075930144
3152215,3102265,7,0.265755505
2811415,1635271,5,0.189825361
2814346,2783453,3,0.113895216
2814417,2785405,3,0.113895216
2821276,2911870,5,0.189825361
2811410,2814251,3,0.113895216
3106234,1635271,3,0.113895216
2779742,2851132,7,0.265755505
3103846,2783453,5,0.189825361
3092132,2783453,2,0.075930144
2811574,2814251,2,0.075930144
3064712,3074553,2,0.075930144
2811548,2784132,3,0.113895216
2811537,2814251,2,0.075930144
2811813,3092097,5,0.189825361
3092098,3122932,2,0.075930144
2813993,2784124,2,0.075930144
2784125,2784131,2,0.075930144
3101250,3102265,2,0.075930144
2811636,2811404,2,0.075930144
3108096,2785406,5,0.189825361
3092073,1635271,2,0.075930144
2811559,2811632,3,0.113895216
3092120,1635271,8,0.303720577
3191176,3103846,3,0.113895216
2813975,2811822,3,0.113895216
2811419,2813995,2,0.075930144
2779728,2851132,3,0.113895216
3066101,3074553,2,0.075930144
3122940,3152215,2,0.075930144
3131609,2814180,2,0.075930144
2811717,1635271,3,0.113895216
2797351,2851311,3,0.113895216
3092662,1635271,14,0.53151101
3092094,1635271,3,0.113895216
2785369,1635271,3,0.113895216
3096700,2785372,2,0.075930144
3092654,2785372,2,0.075930144
2814274,1635271,2,0.075930144
3105611,1635271,3,0.113895216
2814096,2877618,3,0.113895216
3108670,1635271,7,0.265755505
2813911,2814070,3,0.113895216
2814122,2783453,3,0.113895216
