Id,Name,Type,EnableDataSending,EnableDataPassThrough,IsAggregate,IsCollapsed,DataToSend,MaxLatency,X,Y,Latitude,Longitude,EndPt,UserData
2789882,meter_3641,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.29347,-94.809028,[1],@$MeterRead8VM|1661;
2817843,meter_14256,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.306057,-94.77735,[1],@$MeterRead8VM|1661;
2789904,meter_3660,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.294296,-94.800258,[1],@$MeterRead8VM|1661;
3530413,meter_22696,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.278053,-94.832084,[1],@$MeterRead8NoVM|1198;
2808815,meter_11046,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.298517,-94.78036,[1],@$MeterRead8NoVM|1198;
2796261,meter_7249,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.280611,-94.82971,[1],@$MeterRead8VM|1661;
2795418,meter_6915,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.287056,-94.84167,[1],@$MeterRead8VM|1661;
2895848,meter_19112,Meter3,true,true,false,false,2084,18000,0.0,0.0,29.271332,-94.840188,[1],@$MeterRead8VM|2084;
2915884,meter_19339,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.318841,-94.773018,[1],@$MeterRead8VM|1661;
2790387,meter_3741,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.284931,-94.813914,[1],@$MeterRead8VM|1661;
2803505,meter_8999,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.265824,-94.834691,[1],@$MeterRead8VM|1661;
3823420,meter_24318,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.32062,-94.769851,[1],@$MeterRead8NoVM|1198;
3074249,meter_20151,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.305312,-94.782761,[1],@$MeterRead8VM|1661;
2814363,meter_13331,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.277487,-94.840403,[1],@$MeterRead8VM|1661;
2798889,meter_8230,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.267779,-94.836229,[1],@$MeterRead8NoVM|1198;
2783736,meter_835,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.284763,-94.805996,[1],@$MeterRead8NoVM|1198;
2789448,meter_3273,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.297662,-94.794061,[1],@$MeterRead8NoVM|1198;
2793070,meter_5776,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.275632,-94.813437,[1],@$MeterRead8NoVM|1198;
2835763,meter_17284,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.310306,-94.771199,[1],@$MeterRead8VM|1661;
2808094,meter_10677,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.284399,-94.823887,[1],@$MeterRead8NoVM|1198;
2837207,meter_18009,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.31258,-94.76241,[1],@$MeterRead8VM|1661;
2805051,meter_9495,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.268754,-94.836057,[1],@$MeterRead8NoVM|1198;
2830499,meter_15464,Meter3,true,true,false,false,2084,18000,0.0,0.0,29.277216,-94.831711,[1],@$MeterRead8VM|2084;
2795356,meter_6867,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.290354,-94.828103,[1],@$MeterRead8VM|1661;
2835163,meter_16723,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.30708,-94.787942,[1],@$MeterRead8NoVM|1198;
2809549,meter_11612,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.298228,-94.790776,[1],@$MeterRead8NoVM|1198;
2791217,meter_4437,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.288856,-94.795907,[1],@$MeterRead8NoVM|1198;
2854402,meter_18516,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.28353,-94.827748,[1],@$MeterRead8VM|1661;
3321825,meter_21578,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.307056,-94.777182,[1],@$MeterRead8NoVM|1198;
2832491,meter_16327,Meter2,true,true,false,false,1198,18000,0.0,0.0,29.303061,-94.796064,[1],@$MeterRead8NoVM|1198;
3244742,meter_21154,Meter2,true,true,false,false,1661,18000,0.0,0.0,29.306969,-94.792126,[1],@$MeterRead8VM|1661;
2807543,meter_10418,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.296837,-94.798633,[1],@$MeterRead8VM|1661;
2835919,meter_17425,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.309697,-94.769877,[1],@$MeterRead8NoVM|1198;
2809443,meter_11527,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.299413,-94.779064,[1],@$MeterRead8NoVM|1198;
3365502,meter_21749,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.294953,-94.797239,[1],@$MeterRead8NoVM|1198;
3411797,meter_22010,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.275946,-94.83445,[1],@$MeterRead8NoVM|1198;
2793775,meter_6190,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.290759,-94.822104,[1],@$MeterRead8NoVM|1198;
2809544,meter_11608,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.295444,-94.783381,[1],@$MeterRead8VM|1661;
2792932,meter_5654,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.281968,-94.817896,[1],@$MeterRead8VM|1661;
2801119,meter_8591,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.274021,-94.825507,[1],@$MeterRead8NoVM|1198;
3586694,meter_23030,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.292021,-94.789046,[1],@$MeterRead8VM|1661;
3560720,meter_22849,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.300501,-94.783128,[1],@$MeterRead8VM|1661;
2793208,meter_5896,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.27759,-94.826032,[1],@$MeterRead8NoVM|1198;
2772173,meter_454,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.297681,-94.817546,[1],@$MeterRead8VM|1661;
2787252,meter_2073,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.31865,-94.770562,[1],@$MeterRead8NoVM|1198;
2808769,meter_11008,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.300384,-94.781018,[1],@$MeterRead8NoVM|1198;
3444283,meter_22168,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.29740271,-94.7879057,[1],@$MeterRead8NoVM|1198;
2835248,meter_16804,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.318769,-94.749865,[1],@$MeterRead8VM|1661;
2821000,meter_14632,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.279312,-94.82433,[1],@$MeterRead8NoVM|1198;
2783883,meter_957,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.282115,-94.810077,[1],@$MeterRead8NoVM|1198;
2788666,meter_2857,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.293148,-94.800572,[1],@$MeterRead8VM|1661;
3613530,meter_23193,Meter2,true,true,false,false,1661,18000,0.0,0.0,29.30882262,-94.7868853,[1],@$MeterRead8VM|1661;
2834844,meter_16647,Meter2,true,true,false,false,1661,18000,0.0,0.0,29.308484,-94.791962,[1],@$MeterRead8VM|1661;
2809178,meter_11326,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.300341,-94.784755,[1],@$MeterRead8VM|1661;
3246950,meter_21173,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.290868,-94.811837,[1],@$MeterRead8VM|1661;
2837030,meter_17845,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.314905,-94.76836,[1],@$MeterRead8NoVM|1198;
2897054,meter_19121,Meter3,true,true,false,false,2084,18000,0.0,0.0,29.273225,-94.835653,[1],@$MeterRead8VM|2084;
2808309,meter_10869,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.284585,-94.823074,[1],@$MeterRead8VM|1661;
2789134,meter_3018,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.298164,-94.794748,[1],@$MeterRead8NoVM|1198;
3146434,meter_20767,Meter3,true,true,false,false,1049,18000,0.0,0.0,29.298666,-94.798476,[1],@$MeterRead8NoVM|1049;
2837009,meter_17824,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.312298,-94.767548,[1],@$MeterRead8VM|1661;
3728871,meter_23844,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.27322555,-94.84468844,[1],@$MeterRead8VM|1661;
2793591,meter_6050,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.289523,-94.827651,[1],@$MeterRead8NoVM|1198;
3235181,meter_21082,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.274647,-94.832848,[1],@$MeterRead8VM|1661;
3623683,meter_23259,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.284493,-94.807169,[1],@$MeterRead8VM|1661;
2790734,meter_4020,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.288129,-94.795975,[1],@$MeterRead8VM|1661;
